,country,gini10,dem_level4,dem_rank14,dem_score14,lifeex_f,lifeex_m,literacy,oil,pop_0_14,pop_15_64,pop_65_older,fertility,govregrel,regionun,religoin,spendeduc,spendhealth,spendmil,hdi,pop_age,sexratio,pop_total,pop_urban,gender_unequal,gender_unequal_rank,arda,lifeex_total,debt,colony,confidence,decent08,dem_other,dem_other5,democ,democ11,democ_regime,democ_regime08,district_size3,durable,effectiveness,enpp3_democ,enpp3_democ08,dnpp_3,eu,fhrate04_rev,fhrate08_rev,frac_eth,frac_eth2,frac_eth3,free_business,free_corrupt,free_finance,free_fiscal,free_govspend,free_invest,free_labor,free_monetary,free_property,free_trade,free_overall,free_overall_4,gdp08,gdp_10_thou,gdp_cap2,gdp_cap3,gdpcap2_08,gdpcap3_08,gdpcap08_2,gdppcap08,gdppcap08_3,gender_equal3,gini04,gini08,hi_gdp,indy,muslim,natcode,oecd,pmat12_3,polity,pr_sys,protact3,regime_type3,rich_democ,unions,unnetgro,unnetuse,unpovnpl,unremitp,unremitt,vi_rel3,votevap00s,votevap90s,women05,women09,women13,ipu_wom13_all,womyear,womyear2,dem_economist,democ.yes,country1
1,Afghanistan,29.4,Authoritarian,151,2.77,45.25,44.79,28.1,0,42.3,55.3,2.4,5.39,10,Asia,Muslim,NA,1.8,1.9,0.349,16.9,106,29.1,22.6,0.797,134,1,45.02,NA,UK,NA,No local elections,10.5,10%,No,NA,No,No,single member,4,13.71158426,NA,NA,NA,Not member,2.5,3,0.769299984,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6,NA,NA,NA,Low,Low,Low,NA,NA,NA,NA,NA,NA,1919,Yes,afghanistan,Not member,NA,NA,No,NA,Dictatorship,NA,NA,NA,1.7,42,NA,NA,NA,NA,NA,NA,NA,NA,27.7,NA,NA,0,0,Afghanistan
2,Albania,33,Hybrid,88,5.67,80.3,74.82,NA,5400,21.4,68.1,10.5,1.48,0,Europe,Muslim,2.9,2.9,2,0.719,30,107,3.2,51.9,0.545,61,3,77.41,59.3,Soviet Union,49.33592606,Legislature and executive are locally elected,63,Approx 60%,Yes,9,Yes,Yes,NA,3,35.46099294,1-3 parties,1-3 parties,1,Not member,5,8,0.220400006,Low,Low,68,34,70,92.6,74.2,70,52.1,78.7,35,85.8,66,MidHi,24.3,0.1535,Low,Middle,Low,Mid,Low,7715,2,NA,28.2,31.1,Low GDP,1991,Yes,albania,Not member,Low post-mat,9,No,Moderate,Parliamentary democ,0,NA,21329,23.9,18.5,476,12.2,20-50%,59.56,85.25754547,6.4,16.4,15.7,15.7,1920,1944 or before,0,100,Albania
3,Algeria,35.3,Authoritarian,117,3.83,76.31,72.78,69.9,2125000,24.2,70.6,5.2,1.75,8.611,Africa,Muslim,4.3,3.6,3,0.677,26.2,104.6,35.4,66.5,0.594,70,4,74.5,25.7,France,52.05573545,Legislature is elected but executive is appointed,40.8,Approx 40%,No,3,No,No,6 or more members,5,32.6241141,NA,NA,3,Not member,2.5,3,0.339399993,Low,Medium,71.2,32,30,83.5,73.4,45,56.4,77.2,30,70.7,56.9,MidLow,276,0.1785,Low,Middle,High,Mid,High,8033,2,NA,35.3,35.3,Low GDP,1962,Yes,algeria,Not member,NA,2,Yes,NA,Dictatorship,0,NA,2633,11.9,NA,64,1.3,>50%,NA,71.4335556,NA,NA,NA,31.6,1962,After 1944,0,0,Algeria
4,Angola,58.6,Authoritarian,133,3.35,39.83,37.74,67.4,1948000,43.2,54.1,2.7,5.97,0.556,Africa,Catholic,2.6,2,3,0.403,17.4,99.9,19,58.5,NA,NA,7,38.76,20.3,Portugal,NA,No local elections,40.8,Approx 40%,No,2,No,No,NA,3,19.14893696,NA,NA,1,Not member,2.5,3,0.78670001,High,High,43.4,19,40,85.1,62.8,35,45.2,62.6,20,70.4,48.4,Low,106.3,0.0857,Low,Middle,High,Mid,High,5899,2,NA,NA,NA,Low GDP,1975,No,angola,Not member,NA,-2,Yes,NA,Dictatorship,0,NA,3567,3.1,NA,5,0.1,NA,NA,88.28227234,NA,NA,NA,34.1,1975,After 1944,0,0,Angola
5,Argentina,48.8,Part Democ,52,6.84,80.36,73.71,97.2,796300,25.4,63.6,11,2.31,0,Latin America/Caribbean,Catholic,4.9,5.1,0.8,0.775,30.4,103.6,40.7,92.4,0.534,60,11,76.95,50.3,Spain,7.2993254,NA,87.5,Approx 90%,Yes,8,Yes,Yes,6 or more members,17,34.98817944,1-3 parties,1-3 parties,1,Not member,6,10,0.254999995,Low,Low,62.1,29,30,69.5,75.6,45,50.1,61.2,20,69.5,51.2,Low,571.5,0.2797,High,Middle,High,High,High,14333,3,High,52.2,51.3,High GDP,1816,No,argentina,Not member,High post-mat,8,Yes,Moderate,Presidential democ,1,25.39999962,331,28.1,NA,17,0.2,20-50%,70.88,79.68566895,33.7,41.6,37.4,37.4,1947,After 1944,1,100,Argentina
6,Armenia,30.2,Hybrid,113,4.13,77.31,69.59,99.4,0,17.6,72.4,10.1,1.37,6.944,Asia,Orthodox Christian,3,2.1,3.3,0.695,32,116.5,3.1,64.2,0.57,66,12,73.23,NA,Soviet Union,27.13273511,Legislature and executive are locally elected,63,Approx 60%,Yes,5,Yes,Yes,NA,2,36.64302631,6-11 parties,6-11 parties,3,Not member,3.5,4,0.127200007,Low,Low,83.4,29,70,89.3,90.9,75,70.6,72.9,30,80.5,69.2,High,18.7,0.0771,Low,Low,Low,Mid,Low,6070,2,NA,37.9,33.8,Low GDP,1991,No,armenia,Not member,Low post-mat,5,No,High,NA,0,NA,378,6.2,50.9,345,8.9,20-50%,NA,53.3216362,5.3,8.4,10.7,10.7,1921,1944 or before,0,100,Armenia
7,Australia,35.2,Full Democ,9,9.01,84.35,79.4,99,589200,18.3,67.7,14,1.78,0,Australia/New Zealand/Oceania,Catholic,4.7,6,1.8,0.937,37.8,105.3,21.5,89.1,0.296,18,14,81.81,22.4,UK,46.8388857,Legislature is elected but executive is appointed,58.3,Approx 60%,Yes,10,Yes,Yes,single member,99,90.07092277,1-3 parties,1-3 parties,1,Not member,7,12,0.092900001,Low,Low,90.3,87,90,61.4,64.9,80,94.9,82.7,90,85.1,82.6,High,762.6,2.0822,High,High,High,High,High,35677,3,High,35.2,35.2,High GDP,1901,No,australia,OECD Member state,High post-mat,10,No,High,Parliamentary democ,1,28.60000038,66,70.8,NA,220,0.5,20-50%,82.74,81.36467743,24.7,26.7,24.7,24.7,1902,1944 or before,1,100,Australia
8,Austria,29.1,Full Democ,14,8.54,82.84,76.87,98,21880,14,67.7,18.2,1.4,1.389,Europe,Catholic,5.4,7.7,0.9,0.851,41.8,105.4,8.4,67.6,0.3,19,15,79.78,70.4,Other,49.68018965,NA,100,100%,Yes,10,Yes,Yes,6 or more members,54,88.88888799,4-5 parties,4-5 parties,2,EU Member state,7,12,0.106799997,Low,Low,73.6,81,70,51.2,28.8,75,79.1,79.3,90,87.5,71.6,High,318.4,2.5356,High,High,High,High,High,38152,3,High,30,29.1,High GDP,1156,No,austria,OECD Member state,High post-mat,10,Yes,Moderate,Parliamentary democ,1,36.59999847,120,71.2,NA,389,0.8,20-50%,75.61,75.4806366,33.9,27.9,27.9,27.9,1918,1944 or before,1,100,Austria
9,Azerbaijan,NA,Authoritarian,148,2.83,72.01,63.2,98.8,1011000,23.2,70.3,6.4,2.02,7.222,Asia,Muslim,1.9,1,3.8,0.713,28.4,115.6,8.9,51.9,0.553,62,16,67.36,4.6,Soviet Union,54.16848538,Legislature is elected but executive is appointed,63,Approx 60%,No,0,No,No,NA,5,23.87706907,NA,NA,1,Not member,2.5,3,0.204699993,Low,Low,74.6,19,40,79.5,77.5,55,82.5,62.7,20,77.1,58.8,MidLow,76.1,0.0745,Low,Low,High,Mid,High,8765,2,NA,36.5,36.5,Low GDP,1991,Yes,azerbaijan,Not member,Low post-mat,-7,No,Low,Dictatorship,0,75.40000153,20206,28.2,49.6,179,3.4,20-50%,NA,79.18028259,NA,NA,NA,16,1921,1944 or before,0,0,Azerbaijan
10,Bahrain,NA,Authoritarian,147,2.87,80.33,76.03,86.5,48560,20.5,77,2.6,1.88,3.889,Asia,Muslim,2.9,2.6,3,0.801,28.1,105.2,0.8,88.6,0.512,55,18,78.15,59.2,UK,NA,Legislature is elected but executive is appointed,10.5,10%,No,0,No,No,single member,25,65.01181965,NA,NA,NA,Not member,3,4,0.502099991,High,Medium,77.8,54,80,99.9,80.8,65,89.4,73.4,60,82.9,76.3,High,26.9,1.1007,High,High,High,High,High,34605,3,Low,NA,NA,High GDP,1971,Yes,bahrain,Not member,NA,-8,No,NA,Dictatorship,0,NA,907,51.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1973,After 1944,0,0,Bahrain
