"country","democ_status","gini10","lifeex_f","pop_15_64","literacy","oil","fertility","spendhealth","spendmil","sexratio","pop_urban","gdp08","ipu_wom13_all","free_corrupt"
"Algeria",0,35.3,76.31,70.6,69.9,2125000,1.75,3.6,3,104.6,66.5,276,31.6,32
"Angola",0,58.6,39.83,54.1,67.4,1948000,5.97,2,3,99.9,58.5,106.3,34.1,19
"Argentina",1,48.8,80.36,63.6,97.2,796300,2.31,5.1,0.8,103.6,92.4,571.5,37.4,29
"Armenia",1,30.2,77.31,72.4,99.4,0,1.37,2.1,3.3,116.5,64.2,18.7,10.7,29
"Australia",1,35.2,84.35,67.7,99,589200,1.78,6,1.8,105.3,89.1,762.6,24.7,87
"Austria",1,29.1,82.84,67.7,98,21880,1.4,7.7,0.9,105.4,67.6,318.4,27.9,81
"Bangladesh",0,31,71.65,61.1,47.9,5733,2.6,1.1,1,103.6,28.1,213.5,19.7,21
"Belarus",0,28.8,77.18,71.7,99.6,31400,1.26,4.9,1.5,106.1,74.7,118.7,26.6,20
"Belgium",1,33,82.81,66.1,99,11220,1.65,7,1.2,104.8,97.4,369.2,38,73
"Benin",1,38.6,61.14,52.6,34.7,0,5.31,2.5,1.1,103.8,42,12.7,8.4,31
"Bolivia",1,57.2,70.42,60.7,86.7,43740,3,3.4,1.5,104.1,66.6,41.4,25.4,30
"Botswana",0,61,57.3,62.2,81.2,0,2.5,4.3,2.7,101.8,61.1,25.5,7.9,58
"Brazil",1,55,76.27,67,88.6,2572000,2.18,3.5,1.5,104.2,86.5,2000,8.6,35
"Bulgaria",1,29.2,77.41,67.9,98.2,3227,1.42,4.2,2.4,105.7,71.5,94.5,22.9,36
"Burkina Faso",0,39.6,55.71,51.7,21.8,0,6.14,3.4,1.4,103.8,25.7,17.7,15.7,35
"Burundi",1,33.3,60.52,51.6,59.3,0,6.16,5.2,4,100.9,11,3.1,30.5,19
"Cambodia",0,44.2,65.13,64.1,73.6,0,2.84,1.7,1.1,104.1,20.1,28,20.3,18
"Cameroon",0,44.6,55.28,56.2,67.9,77310,4.17,1.3,1.5,101.6,58.4,41.9,13.9,23
"Canada",1,32.6,84.1,68.5,99,3289000,1.58,7.1,1.3,105.1,80.6,1200,24.7,87
"Cape Verde",1,50.4,72.96,61.9,76.6,0,2.49,3.4,0.5,101.6,61.1,1.7,20.8,51
"Central African Republic",0,43.6,51.35,55.3,48.6,0,4.63,1.4,1.6,100,38.9,3.3,12.5,20
"Chad",0,39.8,49.43,51,25.7,115000,5.05,2.7,6.6,101,27.6,16.1,14.9,16
"Chile",1,52,81.13,68.1,95.7,10850,1.88,3.7,3.5,103.8,89,242.4,14.2,69
"China",0,41.5,76.94,73.6,91.6,3991000,1.54,1.9,2,121.2,47,7900,21.3,36
"Colombia",1,58.5,78.03,67.2,90.4,785000,2.15,5.1,3.7,104.3,75.1,395.7,12.1,38
"Costa Rica",1,48.9,80.46,69.1,94.9,0,1.93,5.9,0,104.8,64.4,50.9,38.6,51
"Cote d'Ivoire",0,48.4,57.81,57.2,48.7,58950,3.92,1,1.5,101,50.6,34,10.4,20
"Croatia",1,29,79.6,68.1,98.1,23960,1.43,6.6,1.9,105.8,57.7,84.6,23.8,44
"Cyprus",1,29,80.74,73.4,97.6,0,1.45,3,1.8,106.8,70.3,22.7,10.7,64
"Denmark",1,24.7,81.14,65.3,99,262100,1.74,8.2,1.4,105.8,86.9,201.2,39.1,93
"Djibouti",0,39.9,63.66,61.7,67.9,0,2.71,5.5,3.7,102.2,76.2,1.8,13.8,30
"Ecuador",1,54.4,78.82,63.5,91,485700,2.42,2.3,2.8,104.4,67,107.9,32.3,20
"Egypt",0,32.1,75.38,62.8,71.4,680500,2.97,2.4,2.3,104.7,43.4,441.6,2,28
"El Salvador",1,46.9,76.87,63,81.1,0,2.08,3.6,0.5,104.5,64.3,41.7,26.2,39
"Estonia",1,36,78.97,67.2,99.8,7600,1.44,4.1,2.2,105.6,69.5,27.7,20.8,66
"Ethiopia",0,29.8,58.81,51,42.7,0,6.02,2.2,1.4,101.6,16.7,70.1,27.8,26
"Finland",1,26.9,82.89,66.1,100,8718,1.73,6.1,1.3,104.6,85.1,188.2,42.5,90
"France",1,32.7,84.54,64.7,99,70820,1.96,8.7,2.3,104.3,85.3,2100,26.9,69
"Georgia",1,40.8,80.82,68.3,100,994.9,1.45,1.5,8.5,110.7,52.8,21.4,12,39
"Germany",1,28.3,82.44,66.1,99,156800,1.41,8,1.3,105.4,73.9,2900,32.9,79
"Ghana",1,42.8,62.25,60,57.9,7081,3.48,4.3,0.7,104.5,51.5,33.9,10.3,39
"Greece",1,34.3,82.65,66.2,96,6779,1.38,5.8,3.6,106.6,61.4,330,21,47
"Guatemala",1,53.7,72.83,58,69.1,13530,3.27,2.1,0.4,103.8,49.5,65.1,13.3,31
"Haiti",0,59.5,63.53,60.1,52.9,0,3.07,1.2,0,104.1,52.1,11.5,4.2,14
"Honduras",1,55.3,72.37,59.5,80,0,3.09,4.1,0.8,104.2,51.6,28.7,19.5,26
"Hungary",1,30,78.76,68.2,99.4,21430,1.4,5.2,1.2,105.9,68.1,194,8.8,51
"Iceland",1,26.3,83.17,67.1,99,0,1.89,7.7,0,106,93.4,11.7,39.7,89
"India",1,36.8,67.95,64.9,61,878700,2.62,1.1,2.6,108.5,30,3400,11,34
"Indonesia",1,37.6,73.99,66.5,90.4,1023000,2.25,1.2,1,104.1,44.3,907.3,18.6,26
"Iran",0,38.3,71.61,70.9,77,4172000,1.88,3,2.7,105.2,70.8,839.4,3.1,23
"Ireland",1,34.3,82.55,67.3,99,0,2.02,6.1,0.6,106.4,61.9,197.1,15.1,77
"Israel",1,39.2,83.24,62.2,97.1,3806,2.7,4.5,7,105.9,91.9,201.3,21.7,60
"Italy",1,36,84.53,65.9,98.4,146500,1.39,6.7,1.7,105.5,68.4,1800,21.4,48
"Japan",1,24.9,85.72,64,99,132700,1.21,6.5,0.9,105.5,66.8,4400,7.9,73
"Jordan",0,37.7,81.45,59.9,89.9,0,3.39,5.4,5.9,104.4,78.5,31.2,12,51
"Kazakhstan",0,30.9,74.08,71,99.5,1540000,1.87,2.5,1.2,105.2,58.5,177.4,24.3,22
"Kenya",1,47.7,60.07,55.1,85.1,0,4.19,2,1.9,101.5,22.2,61.3,9.8,21
"Kyrgyzstan",1,33.5,74.24,65.4,98.7,979.1,2.63,3.5,3.7,104.8,34.6,11.5,23.3,18
"Latvia",1,36.3,78.07,69.5,99.7,0,1.32,3.6,1.9,105.5,67.7,38.7,23,50
"Lesotho",0,52.5,51.76,61.1,84.8,0,2.94,3.6,1.6,101.4,26.9,3.2,26.7,32
"Liberia",1,52.6,58.6,52.7,57.5,0,5.13,2.8,0.6,102.1,47.8,1.5,11,24
"Lithuania",1,35.8,80.48,69.7,99.6,6333,1.25,4.5,1.5,105.3,67,63.2,24.5,46
"Madagascar",1,47.2,65.7,53.8,68.9,0,5.02,2.7,1.1,101.4,30.2,20,17.5,34
"Malaysia",0,37.9,76.73,65.4,88.7,693700,2.67,1.9,2,105.8,72.2,383.7,10.4,51
"Mali",1,39,54.26,49.7,46.4,0,6.44,2.9,1.9,102.2,35.9,14.3,10.2,31
